id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob,event
0,0.593,0.0475,0.0641,23246,18593,Nyctalus noctula,0.473,Echolocation
1,0.721,0.1995,0.2173,28813,22031,Nyctalus noctula,0.595,Echolocation
2,0.777,0.3365,0.3525,30372,22890,Nyctalus noctula,0.631,Echolocation
3,0.775,0.5125,0.5296,26455,20312,Nyctalus noctula,0.684,Echolocation
4,0.754,0.6225,0.6338,32988,23750,Nyctalus noctula,0.534,Echolocation
5,0.605,0.7255,0.735,33648,23750,Nyctalus noctula,0.309,Echolocation
,0.8,0.7854,0.9639,29705,18372,Nyctalus noctula,0.8,Feeding Buzz
